technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,detection_available,detection_notes,NIDS_Classification,NIDS_Reasoning,Network_Artifact
T1559.002,Dynamic Data Exchange,"Adversaries may use Windows Dynamic Data Exchange (DDE) to execute arbitrary commands. DDE is a client-server protocol for one-time and/or continuous inter-process communication (IPC) between applications. Once a link is established, applications can autonomously exchange transactions consisting of ...",execution,Windows,2,2,0,Medium,27.4,"Cobalt Group, TA505","Cobalt Group, TA505",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1068,Exploitation for Privilege Escalation,"Adversaries may exploit software vulnerabilities in an attempt to elevate privileges. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself to execute adversary-controll...",privilege-escalation,"Containers, Linux, macOS, Windows",2,1,1,Medium,27.2,"Carberp, Cobalt Group",Cobalt Group,Carberp,False,,NO,Primarily local host-based operations,
T1572,Protocol Tunneling,Adversaries may tunnel network communications to and from a victim system within a separate protocol to avoid detection/network filtering and/or enable access to otherwise unreachable systems. Tunneling involves explicitly encapsulating a protocol within another. This behavior may conceal malicious ...,command-and-control,"ESXi, Linux, macOS, Windows",2,1,1,Medium,26.4,"Cobalt Group, QakBot",Cobalt Group,QakBot,False,,YES,Protocol tunneling for C2,"Encapsulated protocols, unusual port/protocol combinations"
T1573.002,Asymmetric Cryptography,"Adversaries may employ a known asymmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Asymmetric cryptography, also known as public key cryptography, uses a keypair per party: one public that can be...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",2,1,1,Medium,26.4,"Cobalt Group, Dridex",Cobalt Group,Dridex,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1008,Fallback Channels,Adversaries may use fallback or alternate communication channels if the primary channel is compromised or inaccessible in order to maintain reliable command and control and to avoid data transfer thresholds.,command-and-control,"Linux, Windows, macOS, ESXi",2,1,1,Medium,26.4,"Lazarus Group, TrickBot",Lazarus Group,TrickBot,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1561.002,Disk Structure Wipe,"Adversaries may corrupt or wipe the disk data structures on a hard drive necessary to boot a system; targeting specific critical systems or in large numbers in a network to interrupt availability to system and network resources. 

Adversaries may attempt to render the system unable to boot by overwr...",impact,"Linux, macOS, Windows, Network Devices",2,2,0,Medium,26.2,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1485,Data Destruction,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remo...",impact,"Containers, ESXi, IaaS, Linux, macOS, Windows",2,2,0,Medium,26.2,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,NO,Primarily local host-based operations,
T1529,System Shutdown/Reboot,"Adversaries may shutdown/reboot systems to interrupt access to, or aid in the destruction of, those systems. Operating systems may contain commands to initiate a shutdown/reboot of a machine or network device. In some cases, these commands may also be used to initiate a shutdown/reboot of a remote c...",impact,"ESXi, Linux, macOS, Network Devices, Windows",2,2,0,Medium,26.2,"APT38, Lazarus Group","APT38, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1210,Exploitation of Remote Services,"Adversaries may exploit remote services to gain unauthorized access to internal systems once inside of a network. Exploitation of a software vulnerability occurs when an adversary takes advantage of a programming error in a program, service, or within the operating system software or kernel itself t...",lateral-movement,"Linux, Windows, macOS, ESXi",3,1,2,Medium,25.8,"QakBot, TrickBot, Wizard Spider",Wizard Spider,"QakBot, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1110,Brute Force,"Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained.(Citation: TrendMicro Pawn Storm Dec 2020) Without knowledge of the password for an account or set of accounts, an adversary may systematically guess the password usi...",credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",2,1,1,Medium,25.8,"APT38, QakBot",APT38,QakBot,False,,PARTIAL,Brute force can be local or remote,"Multiple failed auth attempts via SMB, RDP, SSH, LDAP"
T1555,Credentials from Password Stores,"Adversaries may search for common password storage locations to obtain user credentials.(Citation: F-Secure The Dukes) Passwords are stored in several places on a system, depending on the operating system or application holding the credentials. There are also specific applications and services that ...",credential-access,"IaaS, Linux, macOS, Windows",2,1,1,Medium,25.8,"Carberp, Malteiro",Malteiro,Carberp,False,,NO,Primarily local host-based operations,
T1021.005,VNC,Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to remotely control machines using Virtual Network Computing (VNC).  VNC is a platform-independent desktop sharing system that uses the RFB (“remote framebuffer”) protocol to enable users to remotely control another comp...,lateral-movement,"Linux, Windows, macOS",3,1,2,Medium,25.8,"Carberp, GCMAN, TrickBot",GCMAN,"Carberp, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1555.005,Password Managers,"Adversaries may acquire user credentials from third-party password managers.(Citation: ise Password Manager February 2019) Password managers are applications designed to store user credentials, normally in an encrypted database. Credentials are typically accessible after a user provides a master pas...",credential-access,"Linux, macOS, Windows",2,1,1,Medium,25.8,"Indrik Spider, TrickBot",Indrik Spider,TrickBot,False,,NO,Primarily local host-based operations,
T1588.001,Malware,"Adversaries may buy, steal, or download malware that can be used during targeting. Malicious software can include payloads, droppers, post-compromise tools, backdoors, packers, and C2 protocols. Adversaries may acquire malware to support their operations, obtaining a means for maintaining control of...",resource-development,PRE,2,2,0,Medium,25.6,"Andariel, TA505","Andariel, TA505",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1584.004,Server,"Adversaries may compromise third-party servers that can be used during targeting. Use of servers allows an adversary to stage, launch, and execute an operation. During post-compromise activity, adversaries may utilize servers for various tasks, including for Command and Control.(Citation: TrendMicro...",resource-development,PRE,2,2,0,Medium,25.6,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1587.001,Malware,"Adversaries may develop malware and malware components that can be used during targeting. Building malicious software can include the development of payloads, droppers, post-compromise tools, backdoors (including backdoored images), packers, C2 protocols, and the creation of infected removable media...",resource-development,PRE,2,2,0,Medium,25.6,"Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1021.002,SMB/Windows Admin Shares,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to interact with a remote network share using Server Message Block (SMB). The adversary may then perform actions as the logged-on user.

SMB is a file, printer, and serial port sharing protocol for Windows machines on th...",lateral-movement,Windows,2,2,0,Medium,24.8,"Lazarus Group, Wizard Spider","Lazarus Group, Wizard Spider",,False,,YES,SMB/Windows Admin Shares access,"SMB traffic on ports 445/139, authentication attempts"
T1016.001,Internet Connection Discovery,"Adversaries may check for Internet connectivity on compromised systems. This may be performed during automated discovery and can be accomplished in numerous ways such as using [Ping](https://attack.mitre.org/software/S0097), <code>tracert</code>, and GET requests to websites, or performing initial s...",discovery,"Windows, Linux, macOS, ESXi",1,0,1,Rare,23.8,QakBot,,QakBot,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1120,Peripheral Device Discovery,Adversaries may attempt to gather information about attached peripheral devices and components connected to a computer system.(Citation: Peripheral Discovery Linux)(Citation: Peripheral Discovery macOS) Peripheral devices could include auxiliary resources that support a variety of functionalities su...,discovery,"Linux, Windows, macOS",1,0,1,Rare,23.8,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1087.001,Local Account,"Adversaries may attempt to get a listing of local system accounts. This information can help adversaries determine which local accounts exist on a system to aid in follow-on behavior.

Commands such as <code>net user</code> and <code>net localgroup</code> of the [Net](https://attack.mitre.org/softwa...",discovery,"ESXi, Linux, macOS, Windows",1,0,1,Rare,23.8,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1069.001,Local Groups,Adversaries may attempt to find local system groups and permission settings. The knowledge of local system permission groups can help adversaries determine which groups exist and which users belong to a particular group. Adversaries may use this information to determine which users have elevated per...,discovery,"Linux, macOS, Windows",1,0,1,Rare,23.8,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1547.004,Winlogon Helper DLL,Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Registry entries in <code>HKLM\Software[\\Wow643...,"persistence, privilege-escalation",Windows,1,1,0,Rare,21.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1547.009,Shortcut Modification,"Adversaries may create or modify shortcuts that can execute a program during system boot or user login. Shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.

Adversaries may abu...","persistence, privilege-escalation",Windows,1,1,0,Rare,21.8,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1037.001,Logon Script (Windows),Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system.(Citation: TechNet Logon Scripts) This is done via adding a path to a script to the <...,"persistence, privilege-escalation",Windows,1,1,0,Rare,21.8,Cobalt Group,Cobalt Group,,False,,NO,Primarily local host-based operations,
T1098,Account Manipulation,"Adversaries may manipulate accounts to maintain and/or elevate access to victim systems. Account manipulation may consist of any action that preserves or modifies adversary access to a compromised account, such as modifying credentials or permission groups.(Citation: FireEye SMOKEDHAM June 2021) The...","persistence, privilege-escalation","Containers, ESXi, IaaS, Identity Provider, Linux, macOS, Network Devices, Office Suite, SaaS, Windows",1,1,0,Rare,21.8,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1505.003,Web Shell,Adversaries may backdoor web servers with web shells to establish persistent access to systems. A Web shell is a Web script that is placed on an openly accessible Web server to allow an adversary to access the Web server as a gateway into a network. A Web shell may provide a set of functions to exec...,persistence,"Linux, macOS, Network Devices, Windows",1,1,0,Rare,21.4,APT38,APT38,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1136.002,Domain Account,"Adversaries may create a domain account to maintain access to victim systems. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover user, administrator, and...",persistence,"Linux, macOS, Windows",1,1,0,Rare,21.4,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1090.001,Internal Proxy,"Adversaries may use an internal proxy to direct command and control traffic between two or more systems in a compromised environment. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre.org/software/S0040), ZXProxy, and ZXPortM...",command-and-control,"Linux, Network Devices, Windows, macOS, ESXi",1,1,0,Rare,21.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1568.001,Fast Flux DNS,"Adversaries may use Fast Flux DNS to hide a command and control channel behind an array of rapidly changing IP addresses linked to a single domain resolution. This technique uses a fully qualified domain name, with multiple IP addresses assigned to it which are swapped with high frequency, using a c...",command-and-control,"Linux, macOS, Windows, ESXi",1,1,0,Rare,21.4,TA505,TA505,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1071.004,DNS,"Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system, and often the results of those commands, will be embedded within the protocol traffic between the client...",command-and-control,"Linux, macOS, Windows, Network Devices, ESXi",1,1,0,Rare,21.4,Cobalt Group,Cobalt Group,,False,,YES,C2 using DNS protocol,"High volume DNS queries, long domain names, TXT records"
T1104,Multi-Stage Channels,"Adversaries may create multiple stages for command and control that are employed under different conditions or for certain functions. Use of multiple stages may obfuscate the command and control channel to make detection more difficult.

Remote access tools will call back to the first-stage command ...",command-and-control,"Linux, macOS, Windows, ESXi",1,1,0,Rare,21.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1136,Create Account,"Adversaries may create an account to maintain access to victim systems.(Citation: Symantec WastedLocker June 2020) With a sufficient level of access, creating such accounts may be used to establish secondary credentialed access that do not require persistent remote access tools to be deployed on the...",persistence,"Windows, IaaS, Linux, macOS, Network Devices, Containers, SaaS, Office Suite, Identity Provider, ESXi",1,1,0,Rare,21.4,Indrik Spider,Indrik Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1001.003,Protocol or Service Impersonation,"Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services, adversaries can make their command and control traffic blend in with legitimate network traffic.  

Adv...",command-and-control,"ESXi, Linux, macOS, Windows",1,1,0,Rare,21.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1003.003,NTDS,"Adversaries may attempt to access or create a copy of the Active Directory domain database in order to steal credential information, as well as obtain other information about domain members such as devices, users, and access rights. By default, the NTDS file (NTDS.dit) is located in <code>%SystemRoo...",credential-access,Windows,1,1,0,Rare,20.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1110.003,Password Spraying,"Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. Password spraying uses one password (e.g. 'Password01'), or a small list of commonly used passwords, that may match the complexity policy of the doma...",credential-access,"Containers, ESXi, IaaS, Identity Provider, Linux, Network Devices, Office Suite, SaaS, Windows, macOS",1,1,0,Rare,20.8,Lazarus Group,Lazarus Group,,False,,PARTIAL,Password spraying against network services,"Multiple login attempts across accounts, SMB, LDAP, HTTP"
T1003.002,Security Account Manager,"Adversaries may attempt to extract credential material from the Security Account Manager (SAM) database either through in-memory techniques or through the Windows Registry where the SAM database is stored. The SAM is a database file that contains local accounts for the host, typically those found wi...",credential-access,Windows,1,1,0,Rare,20.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1555.004,Windows Credential Manager,"Adversaries may acquire credentials from the Windows Credential Manager. The Credential Manager stores credentials for signing into websites, applications, and/or devices that request authentication through NTLM or Kerberos in Credential Lockers (previously known as Windows Vaults).(Citation: Micros...",credential-access,Windows,1,1,0,Rare,20.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1552.006,Group Policy Preferences,"Adversaries may attempt to find unsecured credentials in Group Policy Preferences (GPP). GPP are tools that allow administrators to create domain policies with embedded credentials. These policies allow administrators to set local accounts.(Citation: Microsoft GPP 2016)

These group policies are sto...",credential-access,Windows,1,1,0,Rare,20.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1053.003,Cron,Adversaries may abuse the <code>cron</code> utility to perform task scheduling for initial or recurring execution of malicious code.(Citation: 20 macOS Common Tools and Techniques) The <code>cron</code> utility is a time-based job scheduler for Unix-like operating systems.  The <code> crontab</code>...,"execution, persistence, privilege-escalation","Linux, macOS, ESXi",1,1,0,Rare,20.67,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1056.004,Credential API Hooking,Adversaries may hook into Windows application programming interface (API) functions and Linux system functions to collect user credentials. Malicious hooking mechanisms may capture API or function calls that include parameters that reveal user authentication credentials.(Citation: Microsoft TrojanSp...,"collection, credential-access","Windows, Linux, macOS",2,0,2,Medium,20.6,"Carberp, TrickBot",,"Carberp, TrickBot",False,,NO,Primarily local host-based operations,
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,"Adversaries may steal data by exfiltrating it over an un-encrypted network protocol other than that of the existing command and control channel. The data may also be sent to an alternate network location from the main command and control server.(Citation: copy_cmd_cisco)

Adversaries may opt to obfu...",exfiltration,"ESXi, Linux, macOS, Network Devices, Windows",2,2,0,Medium,20.4,"Lazarus Group, Wizard Spider","Lazarus Group, Wizard Spider",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1567.002,Exfiltration to Cloud Storage,"Adversaries may exfiltrate data to a cloud storage service rather than over their primary command and control channel. Cloud storage services allow for the storage, edit, and retrieval of data from a remote cloud storage server over the Internet.

Examples of cloud storage services include Dropbox a...",exfiltration,"ESXi, Linux, macOS, Windows",2,2,0,Medium,20.4,"Indrik Spider, Wizard Spider","Indrik Spider, Wizard Spider",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1114.001,Local Email Collection,"Adversaries may target user email on local systems to collect sensitive information. Files containing email data can be acquired from a user’s local system, such as Outlook storage or cache files.

Outlook stores data locally in offline data files with an extension of .ost. Outlook 2010 and later su...",collection,Windows,2,0,2,Medium,19.4,"Carbanak, QakBot",,"Carbanak, QakBot",False,,NO,Primarily local host-based operations,
T1560.003,Archive via Custom Method,"An adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. Adversaries may choose to use custom archival methods, such as encryption with XOR or stream ciphers implemented with no external library or utility references. Custom implementations of well-kno...",collection,"Linux, macOS, Windows",1,1,0,Rare,18.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1560.001,Archive via Utility,"Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress, encrypt, or otherwise package data into a format that is easier/more secure to transport.

Adversaries may abuse various utilities to compress or encrypt...",collection,"Linux, macOS, Windows",1,1,0,Rare,18.4,Wizard Spider,Wizard Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1125,Video Capture,"An adversary can leverage a computer's peripheral devices (e.g., integrated cameras or webcams) or applications (e.g., video call services) to capture video recordings for the purpose of gathering information. Images may also be captured from devices or applications, potentially in specified interva...",collection,"Windows, macOS, Linux",1,1,0,Rare,18.4,Silence,Silence,,False,,NO,Primarily local host-based operations,
T1074,Data Staged,"Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and comm...",collection,"Windows, IaaS, Linux, macOS, ESXi",1,1,0,Rare,18.4,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1115,Clipboard Data,"Adversaries may collect data stored in the clipboard from users copying information within or between applications. 

For example, on Windows adversaries can access clipboard data by using <code>clip.exe</code> or <code>Get-Clipboard</code>.(Citation: MSDN Clipboard)(Citation: clip_win_server)(Citat...",collection,"Linux, macOS, Windows",1,1,0,Rare,18.4,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1560.002,Archive via Library,"An adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries. Many libraries exist that can archive data, including [Python](https://attack.mitre.org/techniques/T1059/006) rarfile (Citation: PyPI RAR), libzip (Citation: libzip), and zlib (Citation: Zlib...",collection,"Linux, macOS, Windows",1,1,0,Rare,18.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1560,Archive Collected Data,An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network.(Citation: DOJ GRU Indictment Jul 2018) Encryption can be used to hide information that is being ...,collection,"Linux, macOS, Windows",1,1,0,Rare,18.4,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1133,External Remote Services,"Adversaries may leverage external-facing remote services to initially access and/or persist within a network. Remote services such as VPNs, Citrix, and other access mechanisms allow users to connect to internal enterprise network resources from external locations. There are often remote service gate...","persistence, initial-access","Containers, Linux, macOS, Windows",1,1,0,Rare,18.0,Wizard Spider,Wizard Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1095,Non-Application Layer Protocol,"Adversaries may use an OSI non-application layer protocol for communication between host and C2 server or among infected hosts within a network. The list of possible protocols is extensive.(Citation: Wikipedia OSI) Specific examples include use of network layer protocols, such as the Internet Contro...",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",1,0,1,Rare,17.4,QakBot,,QakBot,False,,YES,Non-application layer protocols,"Raw socket traffic, custom network protocols"
T1090.003,Multi-hop Proxy,"Adversaries may chain together multiple proxies to disguise the source of malicious traffic. Typically, a defender will be able to identify the last proxy traffic traversed before it enters their network; the defender may or may not be able to identify any previous proxies before the last-hop proxy....",command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",1,0,1,Rare,17.4,Dridex,,Dridex,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1090,Proxy,Adversaries may use a connection proxy to direct network traffic between systems or act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirect...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",1,0,1,Rare,17.4,Dridex,,Dridex,False,,YES,Proxy usage for C2,"Traffic to known proxy IPs, SOCKS/HTTP proxy protocols"
T1568.002,Domain Generation Algorithms,"Adversaries may make use of Domain Generation Algorithms (DGAs) to dynamically identify a destination domain for command and control traffic rather than relying on a list of static IP addresses or domains. This has the advantage of making it much harder for defenders to block, track, or take over th...",command-and-control,"Linux, macOS, Windows, ESXi",1,0,1,Rare,17.4,QakBot,,QakBot,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1657,Financial Theft,"Adversaries may steal monetary resources from targets through extortion, social engineering, technical theft, or other methods aimed at their own financial gain at the expense of the availability of these resources for victims. Financial theft is the ultimate objective of several popular campaign ty...",impact,"Linux, macOS, Office Suite, SaaS, Windows",1,1,0,Rare,17.2,Malteiro,Malteiro,,False,,NO,Primarily local host-based operations,
T1565.003,Runtime Data Manipulation,"Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating runtime data, adversaries may attempt to affect a business pro...",impact,"Linux, macOS, Windows",1,1,0,Rare,17.2,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1565.001,Stored Data Manipulation,"Adversaries may insert, delete, or manipulate data at rest in order to influence external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating stored data, adversaries may attempt to affect a busines...",impact,"Linux, macOS, Windows",1,1,0,Rare,17.2,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1491.001,Internal Defacement,"An adversary may deface systems internal to an organization in an attempt to intimidate or mislead users, thus discrediting the integrity of the systems. This may take the form of modifications to internal websites or server login messages, or directly to user systems with the replacement of the des...",impact,"ESXi, Linux, macOS, Windows",1,1,0,Rare,17.2,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1561.001,Disk Content Wipe,"Adversaries may erase the contents of storage devices on specific systems or in large numbers in a network to interrupt availability to system and network resources.

Adversaries may partially or completely overwrite the contents of a storage device rendering the data irrecoverable through the stora...",impact,"Linux, Network Devices, Windows, macOS",1,1,0,Rare,17.2,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1565.002,Transmitted Data Manipulation,"Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity, thus threatening the integrity of the data.(Citation: FireEye APT38 Oct 2018)(Citation: DOJ Lazarus Sony 2018) By manipulating transmitted data, adversaries may attempt to affec...",impact,"Linux, macOS, Windows",1,1,0,Rare,17.2,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1490,Inhibit System Recovery,"Adversaries may delete or remove built-in data and turn off services designed to aid in the recovery of a corrupted system to prevent recovery.(Citation: Talos Olympic Destroyer 2018)(Citation: FireEye WannaCry 2017) This may deny access to available backups and recovery options.

Operating systems ...",impact,"Containers, ESXi, IaaS, Linux, macOS, Network Devices, Windows",1,1,0,Rare,17.2,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1072,Software Deployment Tools,Adversaries may gain access to and use centralized software suites installed within an enterprise to execute commands and move laterally through the network. Configuration management and software deployment applications may be used in an enterprise network or cloud environment for routine administra...,"execution, lateral-movement","Linux, macOS, Network Devices, SaaS, Windows",1,1,0,Rare,17.1,Silence,Silence,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1539,Steal Web Session Cookie,An adversary may steal web application or service session cookies and use them to gain access to web applications or Internet services as an authenticated user without needing credentials. Web applications and services often use session cookies as an authentication token after a user has authenticat...,credential-access,"Linux, Office Suite, SaaS, Windows, macOS",1,0,1,Rare,16.8,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1110.004,Credential Stuffing,"Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally, large numbers of username and password pairs are dumped online when a website or service is compromised and the user account credentials access...",credential-access,"Windows, SaaS, IaaS, Linux, macOS, Containers, Network Devices, Office Suite, Identity Provider, ESXi",1,0,1,Rare,16.8,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1552.002,Credentials in Registry,Adversaries may search the Registry on compromised systems for insecurely stored credentials. The Windows Registry stores configuration information that can be used by the system or other programs. Adversaries may query the Registry looking for credentials and passwords that have been stored for use...,credential-access,Windows,1,0,1,Rare,16.8,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1003,OS Credential Dumping,"Adversaries may attempt to dump credentials to obtain account login and credential material, normally in the form of a hash or a clear text password. Credentials can be obtained from OS caches, memory, or structures.(Citation: Brining MimiKatz to Unix) Credentials can then be used to perform [Latera...",credential-access,"Linux, macOS, Windows",1,0,1,Rare,16.8,Carbanak,,Carbanak,False,,NO,Primarily local host-based operations,
T1583,Acquire Infrastructure,"Adversaries may buy, lease, rent, or obtain infrastructure that can be used during targeting. A wide variety of infrastructure exists for hosting and orchestrating adversary operations. Infrastructure solutions include physical or cloud servers, domains, and third-party web services.(Citation: Trend...",resource-development,PRE,1,1,0,Rare,16.6,Indrik Spider,Indrik Spider,,False,,NO,Primarily local host-based operations,
T1608.001,Upload Malware,"Adversaries may upload malware to third-party or adversary controlled infrastructure to make it accessible during targeting. Malicious software can include payloads, droppers, post-compromise tools, backdoors, and a variety of other malicious content. Adversaries may upload malware to support their ...",resource-development,PRE,1,1,0,Rare,16.6,TA505,TA505,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1583.006,Web Services,"Adversaries may register for web services that can be used during targeting. A variety of popular websites exist for adversaries to register for a web-based service that can be abused during later stages of the adversary lifecycle, such as during Command and Control ([Web Service](https://attack.mit...",resource-development,PRE,1,1,0,Rare,16.6,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1588.004,Digital Certificates,"Adversaries may buy and/or steal SSL/TLS certificates that can be used during targeting. SSL/TLS certificates are designed to instill trust. They include information about the key, information about its owner's identity, and the digital signature of an entity that has verified the certificate's cont...",resource-development,PRE,1,1,0,Rare,16.6,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1585.001,Social Media Accounts,"Adversaries may create and cultivate social media accounts that can be used during targeting. Adversaries can create social media accounts that can be used to build a persona to further operations. Persona development consists of the development of public information, presence, history and appropria...",resource-development,PRE,1,1,0,Rare,16.6,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
